"Journal Name","Search URL","Country"
"ACM Transactions on Software Engineering and Methodology","http://www.scimagojr.com/journalsearch.php?q=ACM+Transactions+on+Software+Engineering+and+Methodology&tip=jou","United States"
"ACM Transactions on Speech and Language Processing","http://www.scimagojr.com/journalsearch.php?q=ACM+Transactions+on+Speech+and+Language+Processing&tip=jou","United States"
"ACM Transactions on Storage","http://www.scimagojr.com/journalsearch.php?q=ACM+Transactions+on+Storage&tip=jou","United States"
"ACM Transactions on the Web","http://www.scimagojr.com/journalsearch.php?q=ACM+Transactions+on+the+Web&tip=jou","United States"
"ACM Transactions onAlgorithms","http://www.scimagojr.com/journalsearch.php?q=Algorithms&tip=jou","United States"
"ACM Transactions onInformation Systems","http://www.scimagojr.com/journalsearch.php?q=Information+Systems&tip=jou","United States"
"ACM Transactions onProgramming Languages and Systems","http://www.scimagojr.com/journalsearch.php?q=Program&tip=jou","United States"
"ACM/SIGDA International Symposium on Field Programmable Gate Arrays - FPGA","http://www.scimagojr.com/journalsearch.php?q=ACM/SIGDA+International+Symposium+on+Field+Programmable+Gate+Arrays+-+FPGA&tip=jou","United States"
"ACMComputingSurveys","http://www.scimagojr.com/journalsearch.php?q=Computing&tip=jou","United States"
"Acta Cybernetica","http://www.scimagojr.com/journalsearch.php?q=Acta+Cybernetica&tip=jou","Hungary"
"Acta Informatica","http://www.scimagojr.com/journalsearch.php?q=Acta+Informatica&tip=jou","United States"
"Acta InformaticaMedica","http://www.scimagojr.com/journalsearch.php?q=Acta+Informatica&tip=jou","Bosnia and Herzegovina"
"Acta Scientiarum - Technology","http://www.scimagojr.com/journalsearch.php?q=Acta+Scientiarum+-+Technology&tip=jou","Brazil"
"Acta Universitatis Agriculturae et SilviculturaeMendelianae Brunensis","http://www.scimagojr.com/journalsearch.php?q=Mendel&tip=jou","Czech Republic"
"ActaInformatica","http://www.scimagojr.com/journalsearch.php?q=Informatica&tip=jou","United States"
"ActaInformaticaMedica","http://www.scimagojr.com/journalsearch.php?q=Informatica&tip=jou","Bosnia and Herzegovina"
"Ad Hoc Networks","http://www.scimagojr.com/journalsearch.php?q=Ad+Hoc+Networks&tip=jou","Netherlands"
"Ad-Hoc and Sensor Wireless Networks","http://www.scimagojr.com/journalsearch.php?q=Ad-Hoc+and+Sensor+Wireless+Networks&tip=jou","United States"
"Ada User Journal","http://www.scimagojr.com/journalsearch.php?q=Ada+User+Journal&tip=jou","Portugal"
"Adaptation, Learning, and Optimization","http://www.scimagojr.com/journalsearch.php?q=Adaptation,+Learning,+and+Optimization&tip=jou","United States"
"Addictive Disorders and their Treatment","http://www.scimagojr.com/journalsearch.php?q=Order&tip=jou","United States"
"ADHD Attention Deficit and Hyperactivity Disorders","http://www.scimagojr.com/journalsearch.php?q=Order&tip=jou","Austria"
"Advanced Engineering Informatics","http://www.scimagojr.com/journalsearch.php?q=Advanced+Engineering+Informatics&tip=jou","United Kingdom"
"Advanced Robotics","http://www.scimagojr.com/journalsearch.php?q=Advanced+Robotics&tip=jou","United Kingdom"
"Advanced Science Letters","http://www.scimagojr.com/journalsearch.php?q=Advanced+Science+Letters&tip=jou","United States"
"AdvancedOptical Materials","http://www.scimagojr.com/journalsearch.php?q=Optical+Materials&tip=jou","Germany"
"Advances and Applications in Bioinformatics and Chemistry","http://www.scimagojr.com/journalsearch.php?q=Advances+and+Applications+in+Bioinformatics+and+Chemistry&tip=jou","New Zealand"
"Advances in Adaptive Data Analysis","http://www.scimagojr.com/journalsearch.php?q=Advances+in+Adaptive+Data+Analysis&tip=jou","Singapore"
"Advances in Bioinformatics","http://www.scimagojr.com/journalsearch.php?q=Advances+in+Bioinformatics&tip=jou","Egypt"
"Advances in Computers","http://www.scimagojr.com/journalsearch.php?q=Advances+in+Computers&tip=jou","United States"
"Advances in Data Analysis and Classification","http://www.scimagojr.com/journalsearch.php?q=Advances+in+Data+Analysis+and+Classification&tip=jou","Germany"
"Advances in Electrical and Computer Engineering","http://www.scimagojr.com/journalsearch.php?q=Advances+in+Electrical+and+Computer+Engineering&tip=jou","Romania"
"Advances in Engineering Software","http://www.scimagojr.com/journalsearch.php?q=Advances+in+Engineering+Software&tip=jou","United Kingdom"
"Advances in Human-Computer Interaction","http://www.scimagojr.com/journalsearch.php?q=Advances+in+Human-Computer+Interaction&tip=jou","Egypt"
"Advances in Information Sciences and Service Sciences","http://www.scimagojr.com/journalsearch.php?q=Advances+in+Information+Sciences+and+Service+Sciences&tip=jou","South Korea"
"Advances in Information Security","http://www.scimagojr.com/journalsearch.php?q=Advances+in+Information+Security&tip=jou","United States"
"Advances in Mathematics of Communications","http://www.scimagojr.com/journalsearch.php?q=Advances+in+Mathematics+of+Communications&tip=jou","United States"
"Advances in Modelling and Analysis B","http://www.scimagojr.com/journalsearch.php?q=Advances+in+Modelling+and+Analysis+B&tip=jou","France"
"Advances in Multimedia","http://www.scimagojr.com/journalsearch.php?q=Advances+in+Multimedia&tip=jou","United States"
"Advances in Parallel Computing","http://www.scimagojr.com/journalsearch.php?q=Advances+in+Parallel+Computing&tip=jou","Netherlands"
"Advances in Soft Computing","http://www.scimagojr.com/journalsearch.php?q=Advances+in+Soft+Computing&tip=jou","Germany"
"Advances inBioinformatics","http://www.scimagojr.com/journalsearch.php?q=Bioinformatics&tip=jou","Egypt"
"Advances inCognitive Psychology","http://www.scimagojr.com/journalsearch.php?q=Cognitive+Psychology&tip=jou","Poland"
"Advances inComplex Systems","http://www.scimagojr.com/journalsearch.php?q=Complex+Systems&tip=jou","Singapore"
"Advances inHuman-Computer Interaction","http://www.scimagojr.com/journalsearch.php?q=Human-Computer+Interaction&tip=jou","Egypt"
"Advances inInformation Sciencesand Service Sciences","http://www.scimagojr.com/journalsearch.php?q=Information+Sciences&tip=jou","South Korea"
"Advances inOperations Research","http://www.scimagojr.com/journalsearch.php?q=Operations+Research&tip=jou","United States"
"Advances inParallel Computing","http://www.scimagojr.com/journalsearch.php?q=Parallel+Computing&tip=jou","Netherlands"
"Advances inProgramEvaluation","http://www.scimagojr.com/journalsearch.php?q=Program&tip=jou","United States"
"Advances inSoft Computing","http://www.scimagojr.com/journalsearch.php?q=Soft+Computing&tip=jou","Germany"
"AI and Society","http://www.scimagojr.com/journalsearch.php?q=AI+and+Society&tip=jou","United Kingdom"
"AI Communications","http://www.scimagojr.com/journalsearch.php?q=AI+Communications&tip=jou","Netherlands"
"AI Magazine","http://www.scimagojr.com/journalsearch.php?q=AI+Magazine&tip=jou","United States"
"Algorithmica","http://www.scimagojr.com/journalsearch.php?q=Algorithmica&tip=jou","United States"
"Algorithms","http://www.scimagojr.com/journalsearch.php?q=Algorithms&tip=jou","Switzerland"
"Algorithms for Molecular Biology","http://www.scimagojr.com/journalsearch.php?q=Algorithms+for+Molecular+Biology&tip=jou","United Kingdom"
"ALT-J: Research in Learning Technology","http://www.scimagojr.com/journalsearch.php?q=ALT-J:+Research+in+Learning+Technology&tip=jou","United Kingdom"
"Alzheimer Disease and Associated Disorders","http://www.scimagojr.com/journalsearch.php?q=Order&tip=jou","United States"
"American Journal of Distance Education","http://www.scimagojr.com/journalsearch.php?q=American+Journal+of+Distance+Education&tip=jou","United Kingdom"
"Analog Integrated Circuits and Signal Processing","http://www.scimagojr.com/journalsearch.php?q=Analog+Integrated+Circuits+and+Signal+Processing&tip=jou","Netherlands"
"Analog Integrated Circuits andSignal Processing","http://www.scimagojr.com/journalsearch.php?q=Signal+Processing&tip=jou","Netherlands"
"Annales Mathematicae et Informaticae","http://www.scimagojr.com/journalsearch.php?q=Annales+Mathematicae+et+Informaticae&tip=jou","Hungary"
"Annals of GIS","http://www.scimagojr.com/journalsearch.php?q=Annals+of+GIS&tip=jou","United Kingdom"
"Annals of Library and Information Studies","http://www.scimagojr.com/journalsearch.php?q=Annals+of+Library+and+Information+Studies&tip=jou","India"
"Annals of Mathematics and Artificial Intelligence","http://www.scimagojr.com/journalsearch.php?q=Annals+of+Mathematics+and+Artificial+Intelligence&tip=jou","Netherlands"
"Annals of the University of Craiova, Mathematics and Computer Science Series","http://www.scimagojr.com/journalsearch.php?q=Annals+of+the+University+of+Craiova,+Mathematics+and+Computer+Science+Series&tip=jou","Romania"
"Annals ofOperations Research","http://www.scimagojr.com/journalsearch.php?q=Operations+Research&tip=jou","Netherlands"
"Annual ACM Symposium on ParallelAlgorithmsand Architectures","http://www.scimagojr.com/journalsearch.php?q=Algorithms&tip=jou","United States"
"Annual Conference of the North American Fuzzy Information Processing Society - NAFIPS","http://www.scimagojr.com/journalsearch.php?q=Annual+Conference+of+the+North+American+Fuzzy+Information+Processing+Society+-+NAFIPS&tip=jou","United States"
"Annual International Conference of the IEEE Engineering in Medicine and Biology - Proceedings","http://www.scimagojr.com/journalsearch.php?q=Annual+International+Conference+of+the+IEEE+Engineering+in+Medicine+and+Biology+-+Proceedings&tip=jou","United States"
"Annual Review of CyberTherapy and Telemedicine","http://www.scimagojr.com/journalsearch.php?q=Annual+Review+of+CyberTherapy+and+Telemedicine&tip=jou","Belgium"
"Annual Review of Information Science and Technology","http://www.scimagojr.com/journalsearch.php?q=Annual+Review+of+Information+Science+and+Technology&tip=jou","United States"
"Annual Reviews in Control","http://www.scimagojr.com/journalsearch.php?q=Annual+Reviews+in+Control&tip=jou","United Kingdom"
"Apoptosis : an international journal onprogrammed cell death","http://www.scimagojr.com/journalsearch.php?q=Program&tip=jou","Netherlands"
"Applied Artificial Intelligence","http://www.scimagojr.com/journalsearch.php?q=Applied+Artificial+Intelligence&tip=jou","United Kingdom"
"Applied Categorical Structures","http://www.scimagojr.com/journalsearch.php?q=Applied+Categorical+Structures&tip=jou","Netherlands"
"Applied Clinical Informatics","http://www.scimagojr.com/journalsearch.php?q=Applied+Clinical+Informatics&tip=jou","Germany"
"Applied Intelligence","http://www.scimagojr.com/journalsearch.php?q=Applied+Intelligence&tip=jou","Netherlands"
"Applied Mathematics and Information Sciences","http://www.scimagojr.com/journalsearch.php?q=Applied+Mathematics+and+Information+Sciences&tip=jou","Bahrain"
"Applied Ontology","http://www.scimagojr.com/journalsearch.php?q=Applied+Ontology&tip=jou","Netherlands"
"Applied Soft Computing","http://www.scimagojr.com/journalsearch.php?q=Applied+Soft+Computing&tip=jou","Netherlands"
"AppliedArtificial Intelligence","http://www.scimagojr.com/journalsearch.php?q=Artificial+Intelligence&tip=jou","United Kingdom"
"AppliedBioinformatics","http://www.scimagojr.com/journalsearch.php?q=Bioinformatics&tip=jou","New Zealand"
"AppliedCognitive Psychology","http://www.scimagojr.com/journalsearch.php?q=Cognitive+Psychology&tip=jou","United Kingdom"
"AppliedComputational Intelligence- Proceedings of the 6th International FLINS Conference","http://www.scimagojr.com/journalsearch.php?q=Computational+Intelligence&tip=jou","Singapore"
"AppliedSoft Computing","http://www.scimagojr.com/journalsearch.php?q=Soft+Computing&tip=jou","Netherlands"
